id,label
12167,0.95405722
5374,0.03507871
12168,0.38523105
12403,0.99993420
4876,0.97992641
10699,0.00087038
3041,0.07636660
11984,0.99999881
12463,0.65693533
6080,0.00055269
5203,0.02076084
11955,0.00050619
7546,0.00218197
2225,0.02230384
5818,0.06670416
11334,1.00000000
11135,0.99990368
722,0.11754330
124,0.60375214
7435,0.14245303
7275,0.97874188
7557,0.49205369
7711,0.01197643
4196,0.06693131
6309,0.00000510
4771,0.87165761
11474,0.58114475
8895,0.00168750
2496,0.99750239
8587,0.98981631
2487,0.99998641
5832,0.19875495
11813,0.98602813
6870,0.99999845
6077,0.00130477
1211,0.99642700
5723,0.99999905
9661,1.00000000
8330,0.29518497
11201,0.02229377
1999,0.00880838
8433,0.98430014
6828,0.98730284
8069,1.00000000
7316,0.15747671
1272,0.90217024
3752,1.00000000
11508,0.99996161
7087,0.08530457
8376,0.99613816
3584,0.54923034
11276,0.93633527
2450,0.00016537
2741,0.91959375
465,0.95483488
2829,0.99874187
4212,0.98500174
10684,0.02582081
3128,0.00312661
3776,0.03889501
10538,0.29928768
5176,0.06382677
9356,0.91960013
5753,0.61014032
2010,0.00516963
1754,0.99750131
7940,0.82676333
10681,0.60759586
11574,0.54349214
9465,0.99986684
11396,0.97215319
812,0.09140316
3938,0.12019482
10732,0.98387724
2719,0.99261838
1456,0.34657815
11472,0.05126915
3054,0.17668651
12032,0.01718862
1609,0.02425153
10038,0.99363726
4519,0.92899245
7614,0.00024879
1518,0.01944400
5393,0.99751306
4672,0.01613971
3670,0.16673829
9961,0.18793738
2878,0.01565140
10666,0.99743879
10203,0.14670929
676,0.00250787
10205,0.98822045
11124,0.76645011
5718,0.71647406
10154,0.02010698
5105,1.00000000
1818,0.99754494
9505,0.99990880
10589,0.99903709
7535,0.00002557
203,0.02210568
5604,0.99963760
743,0.95639527
1383,0.02281460
579,0.99999893
2505,0.31356919
11903,0.98980451
5201,0.00386692
8292,0.96060085
11738,0.85013992
10348,0.99920750
11962,0.09586509
2838,0.09126095
4043,0.99984050
6514,0.69575709
2592,0.99726045
8827,0.81965220
2617,0.00390819
2866,1.00000000
8708,0.79110974
5925,0.06620408
11288,0.59082276
3871,0.98452872
61,0.00000696
11515,0.01190371
950,0.99963009
4061,0.13222925
12269,0.14320980
2376,0.99995077
9200,0.29108509
6017,0.12145282
585,0.99950409
7826,0.02898040
4708,0.11332434
1509,0.54309529
11102,0.99745208
7869,0.01048414
11325,0.00077904
10219,0.31507826
5827,0.97204798
5090,0.99867898
8137,0.00053201
12069,0.00107401
11908,0.99770457
4231,0.27748826
11443,0.79551643
1899,0.02841399
1525,0.08088331
2166,0.25438026
2727,0.00026149
1733,0.02320355
11448,0.98827541
5281,0.99996221
11380,0.95676351
3250,0.37909311
7187,0.99978101
10758,0.99783438
4793,1.00000000
945,0.25773907
10508,0.99724847
9017,0.03671138
9290,0.88877261
7221,0.82776606
8849,0.00299803
9274,0.99976248
622,0.93671268
8345,0.80431300
9463,0.01741658
3558,0.00487526
6046,0.06704196
574,0.03584256
9082,0.06339813
1098,0.45860851
5783,0.28612748
6726,0.59077340
2406,0.02788793
11119,0.36840001
5910,0.01664131
11440,0.55448270
5711,0.45902678
865,0.03206018
9024,0.01828885
1295,0.99994230
5479,1.00000000
12442,0.54729044
12366,1.00000000
11108,0.90905041
6994,0.98770720
8262,0.64707690
2333,0.99999225
5305,0.00010690
4373,0.21276787
7241,0.00372236
6664,0.99185622
5209,0.06885213
7909,0.40531945
7939,0.70093864
12076,0.93883014
5810,0.99192458
3908,0.33010456
9696,0.98894465
10377,0.54098749
4962,0.42542759
8988,0.97759956
1811,0.13422097
11969,0.83392197
633,0.00030008
8829,0.99770457
6161,0.99999845
1305,0.99951303
