id,label
12167,0.998254
5374,0.0958554
12168,0.00155696
12403,0.840175
4876,0.707
10699,0.586989
3041,0.639481
11984,0.998104
12463,0.994171
6080,0.348837
5203,0.981975
11955,0.989701
7546,0.855249
2225,0.760196
5818,2.94364e-06
11334,0.925526
11135,0.000594752
722,1.23364e-07
124,0.00819917
7435,0.997009
7275,0.416526
7557,0.00388569
7711,0.697804
4196,0.701704
6309,0.944771
4771,0.921014
11474,0.548064
8895,2.44668e-08
2496,0.41584
8587,0.0880128
2487,0.946883
5832,0.081605
11813,0.0206565
6870,0.965671
6077,0.237159
1211,0.999961
5723,0.000101771
9661,0.9861
8330,3.67002e-06
11201,0.9995
1999,0.316523
8433,0.999739
6828,0.977769
8069,0.0577393
7316,0.925229
1272,0.990077
3752,0.330255
11508,8.14908e-07
7087,0.0241418
8376,0.00131787
3584,0.876011
11276,0.00320792
2450,0.990211
2741,0.00755404
465,0.000163384
2829,0.794601
4212,0.244164
10684,0.584004
3128,0.999713
3776,0.0488376
10538,0.0562865
5176,0.98655
9356,0.986503
5753,0.127235
2010,0.182932
1754,0.504052
7940,0.000269477
10681,8.7244e-09
11574,4.60876e-06
9465,0.0956935
11396,0.107298
812,0.946576
3938,0.572746
10732,0.898278
2719,0.999555
1456,0.0487775
11472,0.998875
3054,0.612377
12032,0.0894785
1609,0.897887
10038,0.107614
4519,4.15883e-07
7614,0.0644825
1518,6.8116e-11
5393,0.0523904
4672,0.148426
3670,0.372092
9961,0.0227807
2878,0.988136
10666,0.991086
10203,0.927464
676,0.314213
10205,1.8494e-06
11124,1.32229e-07
5718,0.986379
10154,0.836111
5105,0.0148523
1818,0.050602
9505,0.995472
10589,0.312432
7535,0.771632
203,0.898827
5604,0.417
743,0.978134
1383,0.0591554
579,4.41977e-07
2505,0.990643
11903,0.00443535
5201,0.0435005
8292,0.990133
11738,0.0103043
10348,0.919631
11962,0.00789996
2838,0.0172399
4043,0.999506
6514,0.99948
2592,0.0781597
8827,0.880205
2617,1.0
2866,0.0253037
8708,0.340024
5925,0.420683
11288,0.0936451
3871,0.449837
61,0.103006
11515,0.993653
950,0.999524
4061,8.06532e-22
12269,0.683116
2376,0.998676
9200,0.997922
6017,0.332055
585,0.89974
7826,0.998853
